,show_title,id,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
338,Lassie Come Home,tt0036098,movie,"After her destitute family is forced to sell her, a collie named Lassie escapes from her new owner and begins the long trek from Scotland to her Yorkshire home.",1943,Passed,89 min,"Adventure, Drama, Family",United States,tt0036098,7.1,"5,540"
339,The Secret Life of Pets,tt2709768,movie,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",2016,PG,87 min,"Animation, Adventure, Comedy","United States, Japan",tt2709768,6.5,"202,619"
340,"Welcome Home, Roscoe Jenkins",tt0494652,movie,"Dr. RJ Stevens is a talk show host who visits his family in the deep south. While there he reunites with his brother Otis, his sister Betty, his cousin/rival Clyde and his childhood love interest Lucinda Allen.",2008,PG-13,114 min,"Comedy, Romance",United States,tt0494652,5.5,"14,915"
341,Green Lantern,tt1133985,movie,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",2011,PG-13,114 min,"Action, Adventure, Sci-Fi",United States,tt1133985,5.5,"285,559"
342,Flu,tt2351310,movie,"Chaos ensues when a lethal, airborne virus infects the population of a South Korean city less than 20 kilometers from Seoul.",2013,Not Rated,122 min,"Action, Drama, Sci-Fi",South Korea,tt2351310,6.6,"13,488"
343,Thimmarusu: Assignment Vali,tt13310936,movie,A lawyer battles corruption both inside and outside the courtroom.,2021,N/A,127 min,"Crime, Drama, Thriller",India,tt13310936,7.1,"1,599"
344,I Don't Know Whether to Slit My Wrists or Leave Them Long,tt2539482,movie,"This comedy drama features two couples living in the same building, Lucas &amp; Julia the catholics, Aaron &amp; Nora the jewish and Lola the world traveler spanish. The story takes place at the arrival of a new renter the ex soccer playe...",2013,N/A,103 min,"Comedy, Drama",Mexico,tt2539482,7.0,"1,823"
345,D.P.,tt13024974,series,A young private's assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.,2021–,TV-MA,1 min,"Action, Crime, Drama",South Korea,tt13024974,8.2,"5,531"
346,Tomb Raider,tt1365519,movie,"Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared.",2018,PG-13,119 min,"Action, Adventure, Fantasy","United Kingdom, United States",tt1365519,6.3,"214,674"
347,El Infierno,tt11312390,movie,"At the age of 15, Chennu committed his first crime: being a street child. And he walked into hell: Pademba Road Prison. Hell is ruled by Mr. Sillah, and the prisoners abandon all hope. Chennu got out after 4 years. And now he want...",2019,N/A,22 min,Short,Spain,tt11312390,N/A,6
348,Mimi,tt10895576,movie,Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.,2021,TV-14,132 min,"Comedy, Drama",India,tt10895576,7.9,"39,231"
349,For Life,tt10327830,series,A prisoner becomes a lawyer and fights to overturn his life sentence for a crime he didn't commit.,2020–2021,TV-14,43 min,"Biography, Crime, Drama",United States,tt10327830,7.6,"8,482"
350,Alvin and the Chipmunks: Chipwrecked,tt1615918,movie,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",2011,G,87 min,"Animation, Adventure, Comedy",United States,tt1615918,4.3,"35,863"
351,Sputnik,tt11905962,movie,The lone survivor of an enigmatic spaceship incident hasn't returned home alone - hiding inside his body is a dangerous creature.,2020,Not Rated,113 min,"Drama, Horror, Mystery",Russia,tt11905962,6.4,"24,426"
352,The Good Doctor,tt6470478,series,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",2017–,TV-14,41 min,Drama,United States,tt6470478,8.1,"94,112"
353,Dead Man Down,tt2101341,movie,"In New York City, a crime lord's right-hand man is helped by a woman seeking retribution.",2013,R,118 min,"Action, Crime, Drama",United States,tt2101341,6.4,"68,366"
354,The Losers,tt0480255,movie,"A CIA special forces team is betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA.",2010,PG-13,97 min,"Action, Adventure, Comedy","United States, France",tt0480255,6.3,"102,373"
355,World Trade Center,tt0469641,movie,Two Port Authority police officers become trapped under the rubble of the World Trade Center.,2006,PG-13,129 min,"Drama, History, Thriller","Germany, United States",tt0469641,6.0,"84,290"
356,Twilight,tt1099212,movie,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",2008,PG-13,122 min,"Drama, Fantasy, Romance",United States,tt1099212,5.3,"461,221"
357,The Twilight Saga: Breaking Dawn - Part 2,tt1673434,movie,"After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",2012,PG-13,115 min,"Adventure, Drama, Fantasy",United States,tt1673434,5.5,"249,388"
358,The Twilight Saga: New Moon,tt1259571,movie,"Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black.",2009,PG-13,130 min,"Adventure, Drama, Fantasy",United States,tt1259571,4.7,"284,987"
359,Words Bubble Up Like Soda Pop,tt12735338,movie,"A meeting and romance starts between two people with communication issues - a boy who wears headphones and uses haiku poems, and a girl who wears a mask and only does online videos.",2020,TV-PG,87 min,"Animation, Drama, Music",Japan,tt12735338,6.8,"4,002"
360,The Twilight Saga: Eclipse,tt1325004,movie,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",2010,PG-13,124 min,"Action, Adventure, Drama",United States,tt1325004,5.0,"246,751"
361,The Twilight Saga: Breaking Dawn - Part 1,tt1324999,movie,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",2011,PG-13,117 min,"Adventure, Drama, Fantasy",United States,tt1324999,4.9,"241,120"
362,A Classic Horror Story,tt12877640,movie,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.",2021,TV-MA,95 min,"Drama, Horror, Mystery",Italy,tt12877640,5.7,"18,616"
363,Tô Ryca! 2,tt10839454,movie,"Selminha is back. Now she is Ryca (Rich), paying top dollar for everything she needs and wants. The problem is that a poor person's happiness is brief. A namesake heir appears claiming that she is the legitimate inheritor. Selminh...",2022,N/A,101 min,Comedy,Brazil,tt10839454,N/A,90
364,Rust Creek,tt6610158,movie,An overachieving college student gets lost on her way to a job interview. A wrong turn leaves her stranded deep in the Kentucky forest.,2018,R,108 min,"Crime, Drama, Thriller",United States,tt6610158,5.9,"11,833"
365,Warcraft,tt0803096,movie,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",2016,PG-13,123 min,"Action, Adventure, Fantasy","China, United States, Canada, Japan",tt0803096,6.7,"264,294"
366,Mother's Day,tt4824302,movie,Three generations come together in the week leading up to Mother's Day.,2016,PG-13,118 min,"Comedy, Drama, Romance",United States,tt4824302,5.6,"37,431"
367,How to Train Your Dragon: The Hidden World,tt2386490,movie,"When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.",2019,PG,104 min,"Animation, Action, Adventure","United States, Japan",tt2386490,7.4,"128,891"
368,The Huntsman: Winter's War,tt2381991,movie,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",2016,PG-13,114 min,"Action, Adventure, Drama","United States, China",tt2381991,6.1,"110,798"
369,O Candidato Honesto,tt4083076,movie,John is a corrupt politician wanting to be the Brazil's next president. He receives an enchantment from his grandmother and can't lie anymore. Now he must win the presidential elections telling only the truth.,2014,N/A,110 min,Comedy,Brazil,tt4083076,5.4,"1,094"
370,Fatale,tt8829830,movie,"After a one-night stand, a successful married man finds himself entangled in a cunning police detective's latest investigation.",2020,R,102 min,Thriller,United States,tt8829830,5.4,"10,407"
371,The Mitchells vs the Machines,tt7979580,movie,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",2021,PG,114 min,"Animation, Adventure, Comedy","United States, Hong Kong",tt7979580,7.6,"107,904"
